,Brand,Model,Variant,Year,Location,Ownership,KM Driven,Fuel,Transmission,Price
4920,Maruti Suzuki,Swift DZire,VXi,2010,Gurgaon,Second,"1,03,542",Petrol,Manual,"2,09,000"
4921,Maruti Suzuki,Estilo,LXi,2008,Gurgaon,Second,"96,588",Petrol,Automatic,"1,08,000"
4922,Maruti Suzuki,Ritz,VXI BS-IV,2010,Gurgaon,Third,"59,451",Petrol,Automatic,"1,88,000"
4923,Maruti Suzuki,Alto,VXi,2010,Gurgaon,First,"30,579",Petrol,Automatic,"1,68,000"
4924,Maruti Suzuki,Ritz,Zxi BS-IV,2010,Gurgaon,First,"99,713",Petrol,Automatic,"1,93,000"
4925,Maruti Suzuki,Swift DZire,LDI,2015,Gurgaon,First,"92,657",Diesel,Manual,"3,27,000"
4926,Maruti Suzuki,Vitara Brezza,ZDi Plus,2016,Gurgaon,Second,"75,454",Diesel,Manual,"5,90,000"
4927,Mahindra,XUV500,W8,2014,Gurgaon,First,"84,091",Diesel,Automatic,"5,05,000"
4928,Ford,Ecosport,Trend + 1.5L TDCi,2018,Gurgaon,First,"1,06,460",Diesel,Manual,"6,25,000"
4929,Maruti Suzuki,Swift,VXi,2014,Gurgaon,First,"1,03,355",Petrol,Manual,"3,30,000"
4930,Hyundai,Elite i20,Asta 1.4 CRDI,2015,Gurgaon,First,"85,776",Diesel,Automatic,"4,32,000"
4931,Ford,Ecosport,Trend 1.5 Ti-VCT,2013,Gurgaon,Second,"80,000",Petrol,Automatic,"3,30,000"
4932,Maruti Suzuki,Swift DZire,VXI,2012,Gurgaon,First,"45,493",Petrol,Automatic,"3,20,000"
4933,Maruti Suzuki,Ciaz,Zeta 1.3 Hybrid,2017,Gurgaon,First,"99,361",Diesel,Manual,"5,80,000"
4934,Hyundai,Santro,GL Plus,2008,Gurgaon,Third,"67,464",Petrol,Manual,"1,12,000"
4935,Maruti Suzuki,SX4,ZXi,2010,Delhi,First,"84,000",Petrol,Automatic,"3,25,000"
4936,Audi,Q7,3.6 FSI quattro,2008,Delhi,Second,"1,15,000",Petrol,Manual,"9,75,000"
4937,Mercedes-Benz,GL-Class,350 CDI,2015,Delhi,First,"1,29,000",Diesel,Manual,"33,90,000"
4938,Toyota,Innova,2.4 G 8 STR ,2017,Delhi,Second,"27,500",Diesel,Automatic,"15,75,000"
4939,Hyundai,Grand i10,Asta 1.2 Kappa VTVT ,2014,Delhi,First,"46,000",Petrol,Automatic,"3,85,000"
4940,Maruti Suzuki,Swift,Lxi (O) ,2015,Delhi,First,"26,000",Petrol,Automatic,"4,15,000"
4941,Honda,City,1.5 V MT,2012,Delhi,First,"58,000",Petrol,Manual,"4,25,000"
4942,Porsche,Cayenne,Platinum Edition Diesel,2016,Delhi,First,"49,000",Diesel,Automatic,"67,50,000"
4943,Mercedes-Benz,GLA,200d Urban Edition,2019,Delhi,First,"5,000",Diesel,Automatic,"34,50,000"
4944,Tata,Tiago,Revotorq XT ,2018,Delhi,First,"48,000",Diesel,Manual,"4,35,000"
4945,Honda,City,1.5 V MT,2012,Delhi,First,"58,000",Petrol,Manual,"4,25,000"
4946,Porsche,Cayenne,Platinum Edition Diesel,2016,Delhi,First,"49,000",Diesel,Automatic,"67,50,000"
4947,Mercedes-Benz,GLA,200d Urban Edition,2019,Delhi,First,"5,000",Diesel,Automatic,"34,50,000"
4948,Tata,Tiago,Revotorq XT ,2018,Delhi,First,"48,000",Diesel,Manual,"4,35,000"
4949,Honda,City,1.5 V AT,2009,Delhi,Second,"57,000",Petrol,Automatic,"2,75,000"
4950,Hyundai,Grand i10,Magna 1.2 Kappa VTVT ,2016,Delhi,Second,"52,000",Petrol,Manual,"4,20,000"
4951,Hyundai,i10,Sportz 1.2 Kappa2,2015,Delhi,First,"52,000",Petrol,Manual,"3,25,000"
4952,Hyundai,Elite i20,Magna 1.2 ,2017,Delhi,First,"34,000",Petrol,Automatic,"5,45,000"
4953,Maruti Suzuki,Baleno,Sigma 1.2,2015,Delhi,First,"55,000",Petrol,Automatic,"4,25,000"
4954,Honda,Amaze,1.2 VX AT i-VTEC,2014,Delhi,First,"52,000",Petrol,Manual,"4,40,000"
4955,Porsche,Cayenne,Diesel,2015,Delhi,First,"48,000",Diesel,Manual,"53,00,000"
4956,Mercedes-Benz,C-Class,C 220 CDI Avantgarde,2017,Delhi,First,"5,500",Diesel,Manual,"33,50,000"
4957,Land Rover,Range Rover Velar,2.0 HSE Diesel 180,2018,Delhi,First,"35,000",Diesel,Automatic,"68,00,000"
4958,Mahindra,Scorpio,S6 Plus,2016,Delhi,Second,"52,000",Diesel,Manual,"9,49,000"
4959,Maruti Suzuki,Ciaz,VDi+ SHVS,2017,Delhi,First,"35,000",Diesel,Manual,"7,25,000"
4960,BMW,3-Series,320d Luxury Line ,2019,Delhi,First,"35,000",Diesel,Automatic,"39,00,000"
4961,Toyota,Innova,2.8 ZX AT 7 STR ,2018,Delhi,First,"31,000",Diesel,Automatic,"21,50,000"
4962,Toyota,Corolla Altis,G AT Petrol,2015,Delhi,First,"44,000",Petrol,Automatic,"9,90,000"
4963,Mercedes-Benz,E-Class,E 220d Exclusive ,2019,Delhi,Second,"30,000",Diesel,Manual,"52,50,000"
4964,Audi,Q7,45 TFSI Technology Pack,2019,Delhi,First,"40,000",Petrol,Manual,"65,00,000"
4965,Hyundai,Creta,1.6 SX Plus AT Petrol,2017,Delhi,First,"35,000",Petrol,Manual,"10,95,000"
4966,Toyota,Camry,Hybrid,2014,Delhi,First,"1,10,000",Petrol,Manual,"16,21,000"
4967,Mahindra,XUV500,W6,2017,Delhi,First,"71,000",Diesel,Automatic,"8,75,000"
